SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
6.01511e+07,6.01586e+07,2.18967e+07,2.18993e+07,1.39496e+08,1.11791e+06,3.73346e+07,310542,63442,63433,57928,57942
5.99229e+07,5.99295e+07,2.19846e+07,2.19869e+07,1.40299e+08,1.13344e+06,3.70817e+07,297786,62199,62295,47341,47316
6.00967e+07,6.0103e+07,2.19226e+07,2.19243e+07,1.39467e+08,1.12818e+06,3.76808e+07,365842,50055,50065,46278,46289
5.99658e+07,5.99713e+07,2.18581e+07,2.18601e+07,1.40184e+08,1.12937e+06,3.78528e+07,344860,50099,50073,46275,46261
6.00408e+07,6.00471e+07,2.201e+07,2.2013e+07,1.40113e+08,1.14548e+06,3.70606e+07,307252,50025,50037,46245,46255
