SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
966910,969013,326153,326164,5.54206e+06,96737,3.7545e+06,91247,988,993,856,861
966552,968553,354242,354240,5.65737e+06,100515,3.92057e+06,17086,988,993,850,855
966724,968774,353791,353788,5.6521e+06,25846,3.19033e+06,83203,987,992,846,851
966680,968803,353802,353801,5.36948e+06,89447,4.27206e+06,17858,990,995,854,861
966753,968770,353846,353844,5.70951e+06,103944,3.74732e+06,90973,988,994,852,858
966996,968901,350953,350951,4.66826e+06,83854,3.9082e+06,17338,990,995,854,860
966676,968616,343777,343775,5.92563e+06,97350,3.01286e+06,82732,987,992,847,852
966694,968885,353540,353538,5.72519e+06,100796,3.9203e+06,94965,988,994,853,859
966334,968513,354061,354058,5.69178e+06,98100,3.84151e+06,16843,987,992,857,862
963996,966104,353974,353971,5.68212e+06,26145,3.05776e+06,79562,988,993,858,864
855425,855724,354062,354060,5.70177e+06,90264,4.36015e+06,17647,986,991,853,858
848332,848757,354390,354388,4.9024e+06,102733,3.7936e+06,93126,992,998,854,859
837779,838133,354353,354352,4.42381e+06,85518,3.88448e+06,16844,995,1001,857,863
860206,860512,354110,354109,5.23587e+06,98329,3.2836e+06,83252,991,995,856,862
859013,859484,354020,354019,5.00394e+06,25638,3.50498e+06,88846,987,992,856,861
838297,838600,357669,357667,5.45708e+06,94046,3.9953e+06,17176,988,994,853,858
848557,848916,360214,360213,5.39973e+06,93342,4.95251e+06,94129,988,993,848,852
883325,883831,357409,357425,5.32078e+06,91709,2.90036e+06,10623,989,994,853,859
843922,844259,358720,358719,5.50572e+06,96428,3.17515e+06,86906,988,994,860,866
913553,913546,354039,354038,5.74346e+06,100088,3.74774e+06,91067,989,994,861,868
928294,929217,353986,354075,5.64868e+06,96318,3.95368e+06,17064,988,994,863,868
